comment,rating
"Animal is classic Bollywood garbage-rife with misogyny and senseless plot twists. The film lacks a cohesive storyline, drowning in a sea of unnecessary turns. What's truly entertaining is sifting through the suspicious 10/10 ratings. It becomes a game to spot the paid or bot-generated reviews, making this detective work more enjoyable than enduring the movie itself. In the realm of Bollywood disappointments, this movie serves as a reminder of the challenges in Bollywood filmmaking, where lackluster plots, an abundance of unnecessary twists, and a distressing dose of misogyny can overshadow any cinematic potential.",1
"Technically, there was no cohesive storyline. Dialogues were all over the place. Conversations between characters were weird. Like every time one would say something and other would go into an unrelated monologue. (Mostly ranbir).

It's nothing like the trailer. Story is not about son and father. They didn't show anything about their relationship after the first few scenes.

Coming to content, Ranvijay never knew to answer a question straight. His character had no consistency. Even if you make a negative character, his actions need to be consistent. In one instant they want to show he is unhinged and doesn't care, and then next instant he would forgive and protect them.

A movie needs to have a story, a plot, characters need to make sense inside the movie.

Their attempt at jokes were so distasteful. He gives a wedgie to a servant, rants about his underwear, there's two monologues about pubic hair, there's denial about medicine.

Even the climax was so underwhelming. They just faught in one song.

Worse part was how they used Sikhs in the movie. They tried to use them to do idk what. But they're just around to elevate Ranvijay. And in main climax they're told to stay back. Then killed on screen helplessly. Why would you show something like that.

All in all, as a movie it sucks due to lack of story and badly written characters. Then there's the content.",1
"I can assert that the sole purpose was to lure the audience to the cinema with irrelevant and explicit discussions about sex and visually distressing scenes. It was a waste of time, money, and mental well-being.

I won't accept if the producers would be claiming that this is what the audience desires. The film entirely reflects the creator's preferences and choices. The female co-stars were on-screen primarily to deliver bodily content and engage in an unnecessary display of nudity. It's unfortunate that Rashmika's talent was wasted in the process.

Additionally, the brutal scene depicting Bobby's killing was entirely uncalled for.",1
"After watching this movie, the only feeling that comes to mind is Yuck! This Venga way of story telling disgusts me as a viewer. One after one, this kind of movie is released by Venga, this one is no exception. This is toxic screenplay is torture to mind and eye of viewer. It has insane cruelty, misconduct, abuse that gives you yuckky feeling in 95% of the movie. I can not believe people spent so much money to watch this movie on theater, again proves the fact that nasty and filthy things still sold at a hight price in market. It is one time watch and are not worth watching again. Even OTT web series has more validity as a story than this movie. The most hyped movie which is a long screenplay but does not have any actual story to watch. Completely rejected!!!",1
"Ranbir personal show with no story, no logic and absurd action scenes. Anil Kapoor and boby are wasted totally, the film story is from the age where there are no law and enforcement exists you can do whatever you want to either it's your own country or you are in foreign kill as many people as want .... to make a century of corpses is like a piece of cake. Zero emotions and no chemistry between father and son....not even close to a worst family drama and yes it's not a family movie strong language lot of unwanted smooching and obscenity. Spend 3.5 hrs with your father or if you are father spend quality time with your son and save yourself from this disaster.",1
"The movie glorifies violence, physical and sexual abuse, denigration of women and basically banks on shock value to provoke viewers rather than pull in people with a coherent story.

The director will claim that he is some sort of indian tarantino, but its not even close. Just a badly made movie with a man whom every woman must be careful of and stay very very very far away. Consider this a warning and avoid this psycho and his movies. Nothing good can come out of them.

Its specially troubling when you know that these movies will appeal to already mysoginistic men in India and encourage further crimes against women. Really feel bad for women who now will have to put up with more misogyny because of trash like this.",1
"You seriously need to question the sanity of the director, producers and even the actors of this film. I'm a bit traumatized by the movie, and Ive seen my fair share of gore. This movie was beyond bad. And the storyline defies logic which makes it even worse. Too many instances where basic questions and clarity in communication would've reduced the screen time from three hours to two hours max. The worst part is the director is planning on a sequel soon.

If you value your hard earned money and your mental health, I would advise you to abstain from watching this 3 and a half hour torture of a film.",1
"Let us not talk about mysogyny in the movie because that has been said a number of time, which btw is very true. But besides that, the dialogues, the plot, the acting, everything seems to be missing in the movie.

Rashmika should NEVER try to speak in hindi. She mumbles a lot and sometimes it looks like her jaw is frozen. I don't know why she was casted in this movie. Her acting is REALLY REALLY bad and her character has ABSOLUTELY no self respect in the movie. Women in the movie are just props, like any other Vanga movie. Ranbir's acting is good. There is violence in the movie but I do not mind that unless there is justification for it or if it is done sensibly. Here, it is done just for the sake of it.",2
"Went to see it with my 2 boys last night in Manchester.

What looked like an awesome film from the trailer turned out to be an awful experience. An embarrassment of 2023.

Be Sharmi. Be hayaaii. Be ghairati. The Indians are fast losing their sense of identity as they try so hard to westernise themselves but none of the western world watches any of this kind of trash so why bother losing your authenticity?

This film is a sex romp with a mindless and senseless killing spree. It beggared belief and on so many occasions we just wanted to walk out but hung in there hoping against hope it would improve.

Ranvir Kapoor an excellent actor was unable to make the film look intelligent at all and a deaf Bobby Deol now looking aged was thrown in for good measure in the last 20 minutes. Anil Kapoor looked lost with the odd decent dialogue but nothing out of the ordinary.

It was just killing upon killing with scenes and dialogues of sex that would make Bollywood no go films with your daughter or mother. Any wonder that Bollywood is dying out slowly and actors are out of work. Carry on with this trajectory and Hindi cinema won't exist in another 20 years as it will have lost itself completely.

Distasteful. Disrespectful. Disgusting.",1
"The movie is ridiculously bad. Keep the misogyny aside (which is absolutely horrid), the movie is still looks like a headless chicken running around. There is absolutely no story. I wanted to leave the theatre on so many occasions, yep, it was that ridiculous.

There is such a lack of logic as well! Ranbir Kapoor is in supreme health just a short while after getting a HEART TRANSPLANT and beats the hell out of Bobby Deol. Ranbir is killing 200 men alone while his Sikh brothers are singing in the background. Heights of stupidity.

Please do not watch the movie and give it attention that it clearly does not deserve.",1
"Bollywood as usual à man's world. The clear success of this shows how toxic the thought of viewers and the industry. Misogyny praised, cheating normalised. Just a garbage storyline put into together just to satisfy some men and fantasy of the director.

From begining till the end, it normalized cheating by men, disrespect to women etc. The director clealry showed his disrespect towards women in life and showed unrealistic and unmatched masculity through raw sex scenes and violence.

Movie is sickening to its core and breaks the society even more to disrespect women.

Tried to imitate a bad version of bdsm movie like fifty shades of grey but conveyed very dark.",1
